"ID","CLIENT_ID","OPERATION_NAME","START_TIME","END_TIME","EXCEPTION_DETAIL"
1063076052,"SFDC","GetCompanyMatches","2015-01-22T01:21:45.005Z","2015-01-22T01:22:00.623Z",""
1063076103,"SFDC","SubmitCustomerApplication","2015-01-22T01:22:06.229Z","2015-01-22T01:22:31.027Z",""
1063083717,"SFDC","GetCompanyMatches","2015-01-22T01:52:28.344Z","2015-01-22T01:52:33.227Z",""
1063083796,"SFDC","SubmitCustomerApplication","2015-01-22T01:52:37.234Z","2015-01-22T01:52:53.681Z",""
1063084267,"SFDC","SubmitCustomerApplication","2015-01-22T01:54:20.798Z","2015-01-22T01:54:49.165Z",""
1063090641,"SFDC","GetCompanyMatches","2015-01-22T02:32:16.754Z","2015-01-22T02:32:30.884Z",""
1063090635,"SFDC","GetCompanyMatches","2015-01-22T02:32:17.173Z","2015-01-22T02:32:29.464Z",""
1063090691,"SFDC","SubmitCustomerApplication","2015-01-22T02:32:34.567Z","2015-01-22T02:32:50.901Z",""
1063090766,"SFDC","SubmitCustomerApplication","2015-01-22T02:32:55.530Z","2015-01-22T02:33:18.404Z",""
1063094840,"SFDC","GetCompanyMatches","2015-01-22T02:54:29.151Z","2015-01-22T02:54:32.696Z",""
1063095777,"SFDC","GetCompanyMatches","2015-01-22T03:00:02.282Z","2015-01-22T03:00:14.982Z",""
1063095838,"SFDC","SubmitCustomerApplication","2015-01-22T03:00:20.278Z","2015-01-22T03:00:54.339Z",""
1063096501,"SFDC","SubmitCustomerApplication","2015-01-22T03:04:39.784Z","2015-01-22T03:04:55.382Z",""
1063096537,"SFDC","GenerateAndUpdateDocuments","2015-01-22T03:05:07.057Z","2015-01-22T03:05:07.573Z",""
1063096616,"SFDC","GenerateAndUpdateDocuments","2015-01-22T03:05:54.480Z","2015-01-22T03:05:54.825Z",""
1063097971,"SFDC","GetCompanyMatches","2015-01-22T03:10:41.032Z","2015-01-22T03:10:53.241Z",""
1063098010,"SFDC","SubmitCustomerApplication","2015-01-22T03:10:59.358Z","2015-01-22T03:11:20.600Z",""
1063100267,"SFDC","GetCompanyMatches","2015-01-22T03:22:20.168Z","2015-01-22T03:22:23.170Z",""
1063100311,"SFDC","SubmitCustomerApplication","2015-01-22T03:22:28.524Z","2015-01-22T03:22:39.700Z",""
1063102518,"SFDC","GetCompanyMatches","2015-01-22T03:33:16.555Z","2015-01-22T03:33:28.083Z",""
1063102548,"SFDC","SubmitCustomerApplication","2015-01-22T03:33:38.607Z","2015-01-22T03:33:54.744Z",""
1063105476,"SFDC","GetCompanyMatches","2015-01-22T03:51:21.552Z","2015-01-22T03:51:42.068Z",""
1063105495,"SFDC","SubmitCustomerApplication","2015-01-22T03:51:47.235Z","2015-01-22T03:52:04.942Z",""
1063107636,"SFDC","GetCompanyMatches","2015-01-22T04:01:49.844Z","2015-01-22T04:01:59.001Z",""
1063107700,"SFDC","AddressSearch","2015-01-22T04:02:15.400Z","2015-01-22T04:02:16.812Z",""
