"ID","CLIENT_ID","OPERATION_NAME","START_TIME","END_TIME","EXCEPTION_DETAIL"
1064825651,"SFDC","GetCompanyMatches","2015-01-23T01:44:46.962Z","2015-01-23T01:45:00.588Z",""
1064825746,"SFDC","SubmitCustomerApplication","2015-01-23T01:45:06.047Z","2015-01-23T01:45:22.188Z",""
1064830783,"SFDC","SubmitCustomerApplication","2015-01-23T02:09:33.711Z","2015-01-23T02:10:00.455Z",""
1064835783,"SFDC","GetCompanyMatches","2015-01-23T02:37:53.900Z","2015-01-23T02:38:03.303Z",""
1064835807,"SFDC","SubmitCustomerApplication","2015-01-23T02:38:09.080Z","2015-01-23T02:38:24.606Z",""
1064836065,"SFDC","SubmitCustomerApplication","2015-01-23T02:39:29.603Z","2015-01-23T02:39:56.953Z",""
1064838505,"SFDC","GetCompanyMatches","2015-01-23T02:51:17.779Z","2015-01-23T02:51:23.839Z",""
1064838587,"SFDC","GetCompanyMatches","2015-01-23T02:51:48.888Z","2015-01-23T02:51:57.903Z",""
1064839284,"SFDC","GetCompanyMatches","2015-01-23T02:55:16.858Z","2015-01-23T02:55:30.244Z",""
1064839359,"SFDC","SubmitCustomerApplication","2015-01-23T02:55:35.578Z","2015-01-23T02:55:55.781Z",""
1064840294,"SFDC","SubmitCustomerApplication","2015-01-23T03:00:48.109Z","2015-01-23T03:00:55.010Z",""
1064840322,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:01:04.978Z","2015-01-23T03:01:06.277Z",""
1064840381,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:01:15.643Z","2015-01-23T03:01:16.133Z",""
1064840415,"SFDC","SubmitCustomerApplication","2015-01-23T03:01:24.969Z","2015-01-23T03:01:31.587Z",""
1064840616,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:03:08.980Z","2015-01-23T03:03:14.016Z",""
1064843048,"SFDC","GetCompanyMatches","2015-01-23T03:15:11.244Z","2015-01-23T03:15:24.521Z",""
1064843199,"SFDC","SubmitCustomerApplication","2015-01-23T03:15:33.806Z","2015-01-23T03:16:11.951Z",""
1064843588,"SFDC","GetCompanyMatches","2015-01-23T03:19:30.266Z","2015-01-23T03:19:41.560Z",""
1064843596,"SFDC","GetCompanyMatches","2015-01-23T03:19:51.094Z","2015-01-23T03:19:56.925Z",""
1064843683,"SFDC","SubmitCustomerApplication","2015-01-23T03:20:02.414Z","2015-01-23T03:20:25.614Z",""
1064844018,"SFDC","GetCompanyMatches","2015-01-23T03:22:58.453Z","2015-01-23T03:23:08.954Z",""
1064844489,"SFDC","SubmitCustomerApplication","2015-01-23T03:25:55.091Z","2015-01-23T03:26:01.387Z",""
1064844508,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:26:10.186Z","2015-01-23T03:26:10.736Z",""
1064845071,"SFDC","SubmitCustomerApplication","2015-01-23T03:26:48.599Z","2015-01-23T03:27:03.770Z",""
1064845055,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:27:01.908Z","2015-01-23T03:27:02.260Z",""
1064845335,"SFDC","GetCompanyMatches","2015-01-23T03:28:13.872Z","2015-01-23T03:28:18.149Z",""
1064845421,"SFDC","SubmitCustomerApplication","2015-01-23T03:28:24.468Z","2015-01-23T03:28:43.416Z",""
1064845664,"SFDC","SubmitCustomerApplication","2015-01-23T03:30:09.342Z","2015-01-23T03:30:14.256Z",""
1064845881,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:31:30.035Z","2015-01-23T03:31:35.775Z",""
1064845921,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:32:19.830Z","2015-01-23T03:32:20.224Z",""
1064847072,"SFDC","SubmitCustomerApplication","2015-01-23T03:38:21.536Z","2015-01-23T03:38:27.463Z",""
1064847983,"SFDC","SubmitCustomerApplication","2015-01-23T03:43:38.879Z","2015-01-23T03:43:51.666Z",""
1064849257,"SFDC","GetCompanyMatches","2015-01-23T03:49:15.926Z","2015-01-23T03:49:27.483Z",""
1064849333,"SFDC","GetCompanyMatches","2015-01-23T03:49:37.042Z","2015-01-23T03:49:41.464Z",""
1064849419,"SFDC","SubmitCustomerApplication","2015-01-23T03:49:49.784Z","2015-01-23T03:50:07.862Z",""
1064850022,"SFDC","GetCompanyMatches","2015-01-23T03:53:24.064Z","2015-01-23T03:53:32.398Z",""
1064850082,"SFDC","SubmitCustomerApplication","2015-01-23T03:53:38.740Z","2015-01-23T03:53:48.007Z",""
1064850164,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:54:13.170Z","2015-01-23T03:54:18.229Z",""
1064850189,"SFDC","GenerateAndUpdateDocuments","2015-01-23T03:54:17.964Z","2015-01-23T03:54:30.299Z",""
1064851665,"SFDC","SubmitCustomerApplication","2015-01-23T03:59:54.581Z","2015-01-23T04:00:00.248Z",""
1064852331,"SFDC","GenerateAndUpdateDocuments","2015-01-23T04:03:05.541Z","2015-01-23T04:03:06.090Z",""
1064853574,"SFDC","SubmitCustomerApplication","2015-01-23T04:07:18.117Z","2015-01-23T04:07:23.495Z",""
1064854542,"SFDC","GenerateAndUpdateDocuments","2015-01-23T04:09:23.071Z","2015-01-23T04:09:23.361Z",""
1064854783,"SFDC","SubmitCustomerApplication","2015-01-23T04:10:05.816Z","2015-01-23T04:10:10.491Z",""
1064855112,"SFDC","SubmitCustomerApplication","2015-01-23T04:11:02.733Z","2015-01-23T04:11:03.879Z",""
1064855161,"SFDC","SubmitCustomerApplication","2015-01-23T04:11:08.764Z","2015-01-23T04:11:09.420Z",""
1064859129,"SFDC","GetCompanyMatches","2015-01-23T04:27:18.554Z","2015-01-23T04:27:22.694Z",""
1064859184,"SFDC","SubmitCustomerApplication","2015-01-23T04:27:28.601Z","2015-01-23T04:27:39.917Z",""
1064860481,"SFDC","GetCompanyMatches","2015-01-23T04:34:49.970Z","2015-01-23T04:34:56.374Z",""
1064860574,"SFDC","SubmitCustomerApplication","2015-01-23T04:35:19.873Z","2015-01-23T04:35:51.029Z",""
1064860835,"SFDC","SubmitCustomerApplication","2015-01-23T04:37:20.275Z","2015-01-23T04:37:26.986Z",""
1064861515,"SFDC","GetCompanyMatches","2015-01-23T04:41:56.826Z","2015-01-23T04:42:13.182Z",""
1064861550,"SFDC","SubmitCustomerApplication","2015-01-23T04:42:17.332Z","2015-01-23T04:42:33.224Z",""
